Dataset,Set,Approach,Metric,Value,Method,File,Specs
AISHELL-4,,Baseline,DER,0.79352,,L_R003S03C02,xvec_sc
AISHELL-4,,Baseline,JER,0.89272,,L_R003S03C02,xvec_sc
AISHELL-4,,Baseline,Purity,0.50589,,L_R003S03C02,xvec_sc
AISHELL-4,,Baseline,Coverage,0.96926,,L_R003S03C02,xvec_sc
AISHELL-4,,Baseline,DER,0.71806,,M_R003S04C01,xvec_sc
AISHELL-4,,Baseline,JER,0.87004,,M_R003S04C01,xvec_sc
AISHELL-4,,Baseline,Purity,0.66548,,M_R003S04C01,xvec_sc
AISHELL-4,,Baseline,Coverage,0.86853,,M_R003S04C01,xvec_sc
AISHELL-4,,Baseline,DER,0.7115,,L_R004S06C01,xvec_sc
AISHELL-4,,Baseline,JER,0.87431,,L_R004S06C01,xvec_sc
AISHELL-4,,Baseline,Purity,0.46425,,L_R004S06C01,xvec_sc
AISHELL-4,,Baseline,Coverage,0.99259,,L_R004S06C01,xvec_sc
AISHELL-4,,Baseline,DER,0.88753,,M_R003S02C01,xvec_sc
AISHELL-4,,Baseline,JER,0.90869,,M_R003S02C01,xvec_sc
AISHELL-4,,Baseline,Purity,0.4946,,M_R003S02C01,xvec_sc
AISHELL-4,,Baseline,Coverage,0.92159,,M_R003S02C01,xvec_sc
AISHELL-4,,Baseline,DER,0.60772,,S_R004S03C01,xvec_sc
AISHELL-4,,Baseline,JER,0.81034,,S_R004S03C01,xvec_sc
AISHELL-4,,Baseline,Purity,0.48797,,S_R004S03C01,xvec_sc
AISHELL-4,,Baseline,Coverage,0.99978,,S_R004S03C01,xvec_sc
AISHELL-4,,Baseline,DER,0.8834,,L_R003S01C02,xvec_sc
AISHELL-4,,Baseline,JER,0.90239,,L_R003S01C02,xvec_sc
AISHELL-4,,Baseline,Purity,0.41437,,L_R003S01C02,xvec_sc
AISHELL-4,,Baseline,Coverage,0.94109,,L_R003S01C02,xvec_sc
AISHELL-4,,Baseline,DER,0.69132,,L_R004S03C01,xvec_sc
AISHELL-4,,Baseline,JER,0.83392,,L_R004S03C01,xvec_sc
AISHELL-4,,Baseline,Purity,0.6595,,L_R004S03C01,xvec_sc
AISHELL-4,,Baseline,Coverage,0.95322,,L_R004S03C01,xvec_sc
AISHELL-4,,Baseline,DER,0.80611,,M_R003S05C01,xvec_sc
AISHELL-4,,Baseline,JER,0.8871,,M_R003S05C01,xvec_sc
AISHELL-4,,Baseline,Purity,0.59654,,M_R003S05C01,xvec_sc
AISHELL-4,,Baseline,Coverage,0.8828,,M_R003S05C01,xvec_sc
AISHELL-4,,Baseline,DER,0.76728,,L_R004S01C01,xvec_sc
AISHELL-4,,Baseline,JER,0.83803,,L_R004S01C01,xvec_sc
AISHELL-4,,Baseline,Purity,0.66734,,L_R004S01C01,xvec_sc
AISHELL-4,,Baseline,Coverage,0.982,,L_R004S01C01,xvec_sc
AISHELL-4,,Baseline,DER,0.45323,,S_R003S01C01,xvec_sc
AISHELL-4,,Baseline,JER,0.73976,,S_R003S01C01,xvec_sc
AISHELL-4,,Baseline,Purity,0.6563,,S_R003S01C01,xvec_sc
AISHELL-4,,Baseline,Coverage,0.98855,,S_R003S01C01,xvec_sc
AISHELL-4,,Baseline,DER,0.66367,,L_R004S02C01,xvec_sc
AISHELL-4,,Baseline,JER,0.83491,,L_R004S02C01,xvec_sc
AISHELL-4,,Baseline,Purity,0.6526,,L_R004S02C01,xvec_sc
AISHELL-4,,Baseline,Coverage,0.95352,,L_R004S02C01,xvec_sc
AISHELL-4,,Baseline,DER,0.51873,,S_R003S02C01,xvec_sc
AISHELL-4,,Baseline,JER,0.80813,,S_R003S02C01,xvec_sc
AISHELL-4,,Baseline,Purity,0.66196,,S_R003S02C01,xvec_sc
AISHELL-4,,Baseline,Coverage,0.97064,,S_R003S02C01,xvec_sc
AISHELL-4,,Baseline,DER,0.90144,,M_R003S01C01,xvec_sc
AISHELL-4,,Baseline,JER,0.88832,,M_R003S01C01,xvec_sc
AISHELL-4,,Baseline,Purity,0.46091,,M_R003S01C01,xvec_sc
AISHELL-4,,Baseline,Coverage,0.92376,,M_R003S01C01,xvec_sc
AISHELL-4,,Baseline,DER,0.53491,,S_R004S02C01,xvec_sc
AISHELL-4,,Baseline,JER,0.79559,,S_R004S02C01,xvec_sc
AISHELL-4,,Baseline,Purity,0.58799,,S_R004S02C01,xvec_sc
AISHELL-4,,Baseline,Coverage,0.98634,,S_R004S02C01,xvec_sc
AISHELL-4,,Baseline,DER,0.62787,,S_R003S03C01,xvec_sc
AISHELL-4,,Baseline,JER,0.83154,,S_R003S03C01,xvec_sc
AISHELL-4,,Baseline,Purity,0.53254,,S_R003S03C01,xvec_sc
AISHELL-4,,Baseline,Coverage,0.96876,,S_R003S03C01,xvec_sc
AISHELL-4,,Baseline,DER,0.55054,,S_R004S04C01,xvec_sc
