D,Spk,OS,SNR,JER
(1.071 - 2.033],[1 - 2],[0.0 - 1.0],(35.0 - 59.0],3.738
(2.033 - 5.318],(4 - 5],[0.0 - 1.0],(24.8 - 29.0],13.002
(5.318 - 18.792],[1 - 2],[0.0 - 1.0],(35.0 - 59.0],0.763
(2.033 - 5.318],(10 - 41],[0.0 - 1.0],(24.8 - 29.0],53.673
(18.792 - 30.494],(5 - 7],[0.0 - 1.0],(29.0 - 35.0],21.342
(5.318 - 18.792],(5 - 7],(3.0 - 5.0],(29.0 - 35.0],56.646
(5.318 - 18.792],(10 - 41],(5.0 - 9.0],(24.8 - 29.0],72.739
(18.792 - 30.494],(10 - 41],(9.0 - 14.0],(20.0 - 24.8],61.076
(18.792 - 30.494],(5 - 7],[0.0 - 1.0],(16.0 - 20.0],39.301
(5.318 - 18.792],[1 - 2],[0.0 - 1.0],(35.0 - 59.0],53.768
(18.792 - 30.494],(5 - 7],[0.0 - 1.0],(10.0 - 13.0],41.216
(18.792 - 30.494],(7 - 10],[0.0 - 1.0],(20.0 - 24.8],79.834
(5.318 - 18.792],(10 - 41],[0.0 - 1.0],(7.0 - 10.0],67.438
(2.033 - 5.318],(3 - 4],[0.0 - 1.0],(16.0 - 20.0],47.196
(30.494 - 34.87],(3 - 4],(14.0 - 93.0],(10.0 - 13.0],56.405
(30.494 - 34.87],(2 - 3],[0.0 - 1.0],(7.0 - 10.0],79.287
(30.494 - 34.87],[1 - 2],[0.0 - 1.0],(20.0 - 24.8],24.562
(30.494 - 34.87],(2 - 3],[0.0 - 1.0],(7.0 - 10.0],82.671
(18.792 - 30.494],(3 - 4],(14.0 - 93.0],(10.0 - 13.0],59.089
(18.792 - 30.494],(2 - 3],[0.0 - 1.0],(13.0 - 16.0],52.8
(30.494 - 34.87],[1 - 2],[0.0 - 1.0],(20.0 - 24.8],20.034
(34.87 - 95.677],(3 - 4],(9.0 - 14.0],(20.0 - 24.8],45.195
(30.494 - 34.87],(2 - 3],(1.0 - 2.0],(13.0 - 16.0],79.886
(30.494 - 34.87],[1 - 2],[0.0 - 1.0],(16.0 - 20.0],26.884
(30.494 - 34.87],(3 - 4],(2.0 - 3.0],(16.0 - 20.0],48.78
(30.494 - 34.87],[1 - 2],[0.0 - 1.0],(20.0 - 24.8],30.515
(30.494 - 34.87],[1 - 2],[0.0 - 1.0],(16.0 - 20.0],61.903
(30.494 - 34.87],(3 - 4],(9.0 - 14.0],(16.0 - 20.0],44.697
(30.494 - 34.87],[1 - 2],[0.0 - 1.0],(13.0 - 16.0],24.327
(30.494 - 34.87],[1 - 2],[0.0 - 1.0],(29.0 - 35.0],14.672
(30.494 - 34.87],(3 - 4],(14.0 - 93.0],(13.0 - 16.0],53.523
(30.494 - 34.87],[1 - 2],(2.0 - 3.0],(16.0 - 20.0],27.932
(30.494 - 34.87],(3 - 4],(5.0 - 9.0],(16.0 - 20.0],32.161
(30.494 - 34.87],(3 - 4],(1.0 - 2.0],(16.0 - 20.0],76.559
(30.494 - 34.87],[1 - 2],[0.0 - 1.0],(24.8 - 29.0],5.543
(30.494 - 34.87],[1 - 2],[0.0 - 1.0],(20.0 - 24.8],19.55
(30.494 - 34.87],[1 - 2],[0.0 - 1.0],(20.0 - 24.8],19.355
(18.792 - 30.494],[1 - 2],[0.0 - 1.0],(29.0 - 35.0],9.524
(18.792 - 30.494],[1 - 2],[0.0 - 1.0],(13.0 - 16.0],17.483
(18.792 - 30.494],[1 - 2],[0.0 - 1.0],(24.8 - 29.0],21.702
(30.494 - 34.87],[1 - 2],[0.0 - 1.0],(10.0 - 13.0],28.544
(30.494 - 34.87],[1 - 2],[0.0 - 1.0],(29.0 - 35.0],11.179
(30.494 - 34.87],[1 - 2],[0.0 - 1.0],(20.0 - 24.8],21.13
(30.494 - 34.87],[1 - 2],[0.0 - 1.0],(16.0 - 20.0],13.606
(30.494 - 34.87],[1 - 2],[0.0 - 1.0],(29.0 - 35.0],6.804
(30.494 - 34.87],[1 - 2],[0.0 - 1.0],(20.0 - 24.8],17.812
(30.494 - 34.87],[1 - 2],[0.0 - 1.0],(16.0 - 20.0],33.216
(30.494 - 34.87],[1 - 2],(2.0 - 3.0],(13.0 - 16.0],22.696
(30.494 - 34.87],[1 - 2],[0.0 - 1.0],(24.8 - 29.0],11.609
(18.792 - 30.494],[1 - 2],[0.0 - 1.0],(29.0 - 35.0],13.708
(30.494 - 34.87],[1 - 2],[0.0 - 1.0],(20.0 - 24.8],10.785
(30.494 - 34.87],[1 - 2],[0.0 - 1.0],(24.8 - 29.0],16.401
(30.494 - 34.87],[1 - 2],[0.0 - 1.0],(16.0 - 20.0],12.768
