D,Spk,OS,SNR,Coverage
(31.029 - 34.876],(3 - 4],(13.0 - 63.0],(13.0 - 17.0],26.052
(31.029 - 34.876],[1 - 2],(2.0 - 3.0],(17.0 - 21.0],32.136
(31.029 - 34.876],(3 - 4],(8.0 - 13.0],(13.0 - 17.0],31.943
(20.001 - 31.029],(3 - 4],(1.0 - 2.0],(17.0 - 21.0],33.922
(20.001 - 31.029],[1 - 2],[0.0 - 1.0],(25.0 - 29.0],30.648
(31.029 - 34.876],[1 - 2],[0.0 - 1.0],(21.0 - 25.0],32.153
(31.029 - 34.876],[1 - 2],[0.0 - 1.0],(17.0 - 21.0],29.704
(20.001 - 31.029],[1 - 2],[0.0 - 1.0],(29.0 - 36.0],33.551
(20.001 - 31.029],[1 - 2],[0.0 - 1.0],(13.0 - 17.0],50.875
(20.001 - 31.029],[1 - 2],[0.0 - 1.0],(25.0 - 29.0],21.47
(31.029 - 34.876],[1 - 2],[0.0 - 1.0],(10.0 - 13.0],23.747
(20.001 - 31.029],[1 - 2],[0.0 - 1.0],(29.0 - 36.0],24.209
(31.029 - 34.876],[1 - 2],[0.0 - 1.0],(17.0 - 21.0],19.491
(31.029 - 34.876],[1 - 2],[0.0 - 1.0],(17.0 - 21.0],30.894
(31.029 - 34.876],[1 - 2],[0.0 - 1.0],(29.0 - 36.0],26.3
(31.029 - 34.876],[1 - 2],[0.0 - 1.0],(21.0 - 25.0],31.769
(31.029 - 34.876],[1 - 2],[0.0 - 1.0],(17.0 - 21.0],34.098
(31.029 - 34.876],[1 - 2],(2.0 - 3.0],(13.0 - 17.0],35.393
(31.029 - 34.876],[1 - 2],[0.0 - 1.0],(21.0 - 25.0],27.165
(20.001 - 31.029],[1 - 2],[0.0 - 1.0],(29.0 - 36.0],28.136
(31.029 - 34.876],[1 - 2],[0.0 - 1.0],(21.0 - 25.0],25.171
(31.029 - 34.876],[1 - 2],[0.0 - 1.0],(25.0 - 29.0],23.281
(20.001 - 31.029],[1 - 2],[0.0 - 1.0],(17.0 - 21.0],27.35
(31.029 - 34.876],[1 - 2],[0.0 - 1.0],(29.0 - 36.0],20.391
(20.001 - 31.029],[1 - 2],[0.0 - 1.0],(21.0 - 25.0],26.353
(20.001 - 31.029],[1 - 2],[0.0 - 1.0],(25.0 - 29.0],28.686
(31.029 - 34.876],[1 - 2],[0.0 - 1.0],(25.0 - 29.0],20.693
(31.029 - 34.876],[1 - 2],[0.0 - 1.0],(21.0 - 25.0],21.559
(31.029 - 34.876],[1 - 2],[0.0 - 1.0],(8.0 - 10.0],30.467
(31.029 - 34.876],[1 - 2],(1.0 - 2.0],(17.0 - 21.0],27.03
(20.001 - 31.029],[1 - 2],[0.0 - 1.0],(17.0 - 21.0],35.126
(31.029 - 34.876],[1 - 2],[0.0 - 1.0],(17.0 - 21.0],28.578
(31.029 - 34.876],[1 - 2],[0.0 - 1.0],(4.0 - 8.0],44.056
(31.029 - 34.876],[1 - 2],[0.0 - 1.0],(10.0 - 13.0],30.64
(31.029 - 34.876],[1 - 2],[0.0 - 1.0],(36.0 - 59.0],18.898
(31.029 - 34.876],[1 - 2],[0.0 - 1.0],(21.0 - 25.0],40.248
(31.029 - 34.876],[1 - 2],[0.0 - 1.0],(21.0 - 25.0],29.096
(31.029 - 34.876],[1 - 2],(5.0 - 8.0],(13.0 - 17.0],24.588
(20.001 - 31.029],[1 - 2],[0.0 - 1.0],(17.0 - 21.0],33.843
(31.029 - 34.876],[1 - 2],[0.0 - 1.0],(25.0 - 29.0],24.625
(31.029 - 34.876],[1 - 2],[0.0 - 1.0],(21.0 - 25.0],23.086
(31.029 - 34.876],[1 - 2],[0.0 - 1.0],(25.0 - 29.0],18.154
(31.029 - 34.876],[1 - 2],[0.0 - 1.0],(13.0 - 17.0],28.942
(31.029 - 34.876],[1 - 2],(1.0 - 2.0],(17.0 - 21.0],22.81
(31.029 - 34.876],[1 - 2],[0.0 - 1.0],(36.0 - 59.0],20.518
(31.029 - 34.876],[1 - 2],[0.0 - 1.0],(13.0 - 17.0],27.06
(31.029 - 34.876],[1 - 2],[0.0 - 1.0],(21.0 - 25.0],31.626
(20.001 - 31.029],[1 - 2],[0.0 - 1.0],(10.0 - 13.0],30.786
(20.001 - 31.029],[1 - 2],[0.0 - 1.0],(25.0 - 29.0],21.343
(20.001 - 31.029],[1 - 2],[0.0 - 1.0],(17.0 - 21.0],38.775
(31.029 - 34.876],[1 - 2],[0.0 - 1.0],(25.0 - 29.0],21.09
(31.029 - 34.876],[1 - 2],[0.0 - 1.0],(21.0 - 25.0],29.47
(31.029 - 34.876],[1 - 2],[0.0 - 1.0],(29.0 - 36.0],25.368
(31.029 - 34.876],[1 - 2],[0.0 - 1.0],(21.0 - 25.0],21.204
(31.029 - 34.876],[1 - 2],(2.0 - 3.0],(13.0 - 17.0],29.805
(20.001 - 31.029],[1 - 2],[0.0 - 1.0],(21.0 - 25.0],28.163
(31.029 - 34.876],[1 - 2],[0.0 - 1.0],(13.0 - 17.0],26.037
