D,Spk,OS,SNR,JER
(18.792 - 30.494],[1 - 2],[0.0 - 1.0],(24.8 - 29.0],31.744
(30.494 - 34.87],[1 - 2],[0.0 - 1.0],(10.0 - 13.0],34.172
(30.494 - 34.87],[1 - 2],[0.0 - 1.0],(29.0 - 35.0],9.379
(30.494 - 34.87],[1 - 2],[0.0 - 1.0],(20.0 - 24.8],19.585
(30.494 - 34.87],[1 - 2],[0.0 - 1.0],(16.0 - 20.0],6.5
(30.494 - 34.87],[1 - 2],[0.0 - 1.0],(29.0 - 35.0],17.237
(30.494 - 34.87],[1 - 2],[0.0 - 1.0],(20.0 - 24.8],19.28
(30.494 - 34.87],[1 - 2],[0.0 - 1.0],(16.0 - 20.0],17.995
(30.494 - 34.87],[1 - 2],(2.0 - 3.0],(13.0 - 16.0],28.88
(30.494 - 34.87],[1 - 2],[0.0 - 1.0],(24.8 - 29.0],15.467
(18.792 - 30.494],[1 - 2],[0.0 - 1.0],(29.0 - 35.0],14.464
(30.494 - 34.87],[1 - 2],[0.0 - 1.0],(20.0 - 24.8],3.778
(30.494 - 34.87],[1 - 2],[0.0 - 1.0],(24.8 - 29.0],12.749
(30.494 - 34.87],[1 - 2],[0.0 - 1.0],(16.0 - 20.0],24.291
(30.494 - 34.87],[1 - 2],[0.0 - 1.0],(29.0 - 35.0],13.915
(18.792 - 30.494],[1 - 2],[0.0 - 1.0],(20.0 - 24.8],21.412
(30.494 - 34.87],[1 - 2],[0.0 - 1.0],(24.8 - 29.0],11.17
(30.494 - 34.87],[1 - 2],[0.0 - 1.0],(24.8 - 29.0],15.425
(30.494 - 34.87],[1 - 2],[0.0 - 1.0],(20.0 - 24.8],18.756
(30.494 - 34.87],[1 - 2],[0.0 - 1.0],(7.0 - 10.0],28.082
(30.494 - 34.87],[1 - 2],(1.0 - 2.0],(16.0 - 20.0],23.797
(18.792 - 30.494],[1 - 2],[0.0 - 1.0],(16.0 - 20.0],20.003
