D,Spk,OS,SNR,DER
(30.494 - 34.87],[1 - 2],(2.0 - 3.0],(13.0 - 16.0],27.122
(30.494 - 34.87],[1 - 2],[0.0 - 1.0],(24.8 - 29.0],12.529
(18.792 - 30.494],[1 - 2],[0.0 - 1.0],(29.0 - 35.0],15.153
(30.494 - 34.87],[1 - 2],[0.0 - 1.0],(20.0 - 24.8],10.982
(30.494 - 34.87],[1 - 2],[0.0 - 1.0],(24.8 - 29.0],17.681
(30.494 - 34.87],[1 - 2],[0.0 - 1.0],(16.0 - 20.0],13.215
(30.494 - 34.87],[1 - 2],[0.0 - 1.0],(29.0 - 35.0],12.297
(18.792 - 30.494],[1 - 2],[0.0 - 1.0],(20.0 - 24.8],17.542
(30.494 - 34.87],[1 - 2],[0.0 - 1.0],(24.8 - 29.0],6.049
(30.494 - 34.87],[1 - 2],[0.0 - 1.0],(24.8 - 29.0],8.763
(30.494 - 34.87],[1 - 2],[0.0 - 1.0],(20.0 - 24.8],20.985
(30.494 - 34.87],[1 - 2],[0.0 - 1.0],(7.0 - 10.0],17.75
(30.494 - 34.87],[1 - 2],(1.0 - 2.0],(16.0 - 20.0],15.601
(18.792 - 30.494],[1 - 2],[0.0 - 1.0],(16.0 - 20.0],24.487
